vehicle_id,label,avg_speed_kmh,start_frame,end_frame,start_time_s,end_time_s
312,van,33.3,28054,28352,467.567,472.533
316,car,26.4,28344,28448,472.4,474.133
315,van,31.8,28268,28532,471.133,475.533
319,van,24.8,28502,28608,475.033,476.8
318,car,24.5,28474,28666,474.567,477.767
317,van,29.6,28422,28689,473.7,478.15
323,motor,0.9,28697,28724,478.283,478.733
322,car,26.2,28636,28829,477.267,480.483
325,pedestrian,1.5,28897,28901,481.617,481.683
321,van,20.7,28595,28953,476.583,482.55
326,car,13.3,29019,29021,483.65,483.683
327,motor,35.2,29057,29099,484.283,484.983
328,motor,19.8,29119,29125,485.317,485.417
324,car,30.2,28839,29133,480.65,485.55
331,van,30.8,29161,29207,486.017,486.783
330,motor,40.4,29133,29273,485.55,487.883
336,motor,2.8,29289,29293,488.15,488.217
337,motor,17.8,29295,29303,488.25,488.383
333,pedestrian,59.4,29215,29447,486.917,490.783
332,van,31.2,29211,29463,486.85,491.05
320,motor,1.0,28556,28652,475.933,477.533
341,motor,28.6,29549,29613,492.483,493.55
342,motor,37.9,29579,29675,492.983,494.583
343,motor,17.6,29677,29681,494.617,494.683
323,motor,0.4,28760,28839,479.333,480.65
348,motor,22.6,29710,29714,495.167,495.233
338,van,26.9,29387,29772,489.783,496.2
347,motor,35.8,29689,29812,494.817,496.867
350,motor,43.6,29740,29832,495.667,497.2
352,bus,8.5,29882,29888,498.033,498.133
339,van,28.9,29499,29890,491.65,498.167
351,bus,13.7,29856,29936,497.6,498.933
352,bus,36.7,29933,29940,498.883,499.0
353,bus,15.9,29924,30010,498.733,500.167
355,truck,31.6,30010,30060,500.167,501.0
356,bus,38.2,30112,30120,501.867,502.0
354,truck,4.1,30002,30284,500.033,504.733
334,motor,0.2,29281,29427,488.017,490.45
360,motor,66.9,30356,30386,505.933,506.433
340,motor,0.2,29501,29591,491.683,493.183
362,motor,33.4,30480,30548,508.0,509.133
363,pedestrian,1.5,30633,30642,510.55,510.7
364,motor,27.8,30658,30668,510.967,511.133
365,motor,34.2,30672,30731,511.2,512.183
365,motor,30.0,30764,30873,512.733,514.55
368,motor,22.4,31433,31439,523.883,523.983
371,pedestrian,1.9,31800,31812,530.0,530.2
373,car,0.3,31964,32043,532.733,534.05
374,car,0.6,31964,32066,532.733,534.433
378,car,0.1,32108,32112,535.133,535.2
376,motor,24.5,32084,32156,534.733,535.933
377,motor,0.4,32102,32156,535.033,535.933
376,motor,50.7,32200,32282,536.667,538.033
366,tricycle,0.2,31408,31493,523.467,524.883
384,motor,13.5,32422,32482,540.367,541.367
387,motor,16.3,32472,32490,541.2,541.5
389,motor,2.5,32507,32544,541.783,542.4
386,tricycle,12.4,32462,32550,541.033,542.5
390,motor,9.5,32552,32554,542.533,542.567
391,motor,17.3,32554,32564,542.567,542.733
358,car,0.3,30320,31732,505.333,528.867
369,tricycle,1.1,31625,31816,527.083,530.267
370,motor,0.2,31714,31838,528.567,530.633
349,van,0.4,29720,31844,495.333,530.733
357,car,0.3,30178,31850,502.967,530.833
393,pedestrian,5.6,32825,32829,547.083,547.15
