frame,time_s,vehicle_id,x_m,y_m,img_x,img_y,lane_id
41,1.366,6,38.963,6.132,1040.1,725.4,2
41,1.366,5,36.882,16.736,1163.4,749.5,5
41,1.366,4,27.314,9.079,1117.2,816.6,3
41,1.366,7,10.143,21.192,1341.8,974.3,5
41,1.366,8,1.429,21.192,1394.2,1062.6,5
42,1.4,1,27.097,22.009,1262.9,827.1,5
42,1.4,2,36.917,21.067,1208.9,752.8,5
42,1.4,3,26.421,16.847,1209.3,829.1,5
42,1.4,4,27.39,9.088,1117.0,816.0,3
42,1.4,6,38.965,6.132,1040.1,725.4,2
42,1.4,5,36.881,16.735,1163.4,749.5,5
42,1.4,7,10.142,21.191,1341.8,974.3,5
42,1.4,8,1.429,21.192,1394.2,1062.6,5
43,1.433,1,27.07,21.996,1262.8,827.4,5
43,1.433,2,36.918,21.057,1208.8,752.8,5
43,1.433,3,26.414,16.816,1209.0,829.2,5
43,1.433,4,27.408,9.072,1116.8,815.8,3
43,1.433,5,36.867,16.721,1163.3,749.6,5
43,1.433,6,38.972,6.138,1040.1,725.3,2
43,1.433,7,10.141,21.186,1341.7,974.3,5
43,1.433,8,1.416,21.174,1394.1,1062.7,5
44,1.466,1,27.091,21.993,1262.7,827.2,5
44,1.466,2,36.96,21.063,1208.7,752.5,5
44,1.466,3,26.436,16.822,1209.0,829.0,5
44,1.466,4,27.563,9.103,1116.5,814.6,3
44,1.466,6,38.974,6.137,1040.1,725.3,2
44,1.466,5,36.867,16.718,1163.3,749.6,5
44,1.466,7,10.145,21.188,1341.7,974.3,5
44,1.466,8,1.418,21.188,1394.3,1062.7,5
45,1.5,1,27.091,21.993,1262.7,827.2,5
45,1.5,2,36.96,21.063,1208.7,752.5,5
45,1.5,3,26.432,16.819,1209.0,829.0,5
45,1.5,4,27.561,9.102,1116.5,814.6,3
45,1.5,7,10.145,21.184,1341.7,974.3,5
45,1.5,6,38.972,6.142,1040.1,725.3,2
45,1.5,5,36.864,16.719,1163.3,749.6,5
45,1.5,8,1.418,21.185,1394.2,1062.7,5
46,1.533,1,27.121,22.012,1262.8,827.0,5
46,1.533,2,36.946,21.064,1208.7,752.6,5
46,1.533,3,26.447,16.825,1208.9,828.9,5
46,1.533,4,27.642,9.107,1116.2,814.0,3
46,1.533,7,10.145,21.183,1341.7,974.3,5
46,1.533,6,38.968,6.135,1040.1,725.3,2
46,1.533,5,36.875,16.739,1163.4,749.6,5
46,1.533,8,1.42,21.183,1394.2,1062.7,5
47,1.566,1,27.083,22.012,1262.9,827.3,5
47,1.566,2,36.956,21.072,1208.8,752.5,5
47,1.566,3,26.432,16.775,1208.5,829.0,5
47,1.566,4,27.667,9.089,1115.9,813.7,3
47,1.566,6,38.962,6.139,1040.1,725.4,2
47,1.566,5,36.861,16.735,1163.5,749.6,5
47,1.566,7,10.151,21.188,1341.7,974.2,5
47,1.566,8,1.422,21.175,1394.1,1062.7,5
48,1.6,1,27.056,22.0,1262.9,827.5,5
48,1.6,2,36.953,21.079,1208.9,752.5,5
48,1.6,3,26.435,16.769,1208.4,829.0,5
48,1.6,6,38.953,6.131,1040.1,725.4,2
48,1.6,4,27.685,9.056,1115.5,813.6,3
48,1.6,5,36.86,16.738,1163.5,749.7,5
48,1.6,7,10.138,21.17,1341.6,974.4,5
48,1.6,8,1.427,21.165,1393.9,1062.6,5
49,1.633,1,27.073,22.009,1263.0,827.3,5
49,1.633,2,36.957,21.08,1208.9,752.5,5
49,1.633,3,26.434,16.768,1208.4,829.0,5
49,1.633,6,38.954,6.139,1040.2,725.4,2
49,1.633,4,27.786,9.059,1115.1,812.8,3
49,1.633,7,10.138,21.175,1341.6,974.4,5
49,1.633,5,36.861,16.739,1163.5,749.6,5
49,1.633,8,1.428,21.164,1393.9,1062.6,5
50,1.666,1,27.08,22.011,1263.0,827.3,5
50,1.666,2,36.957,21.08,1208.9,752.5,5
50,1.666,3,26.434,16.768,1208.4,829.0,5
50,1.666,6,38.954,6.139,1040.2,725.4,2
50,1.666,4,27.786,9.059,1115.1,812.8,3
50,1.666,7,10.138,21.175,1341.6,974.4,5
50,1.666,5,36.861,16.739,1163.5,749.6,5
50,1.666,8,1.429,21.166,1393.9,1062.6,5
50,1.666,10,0.736,9.372,1248.6,1069.7,3
51,1.7,1,27.068,21.999,1262.9,827.4,5
51,1.7,2,36.953,21.078,1208.8,752.5,5
51,1.7,3,26.434,16.767,1208.4,829.0,5
51,1.7,6,38.963,6.173,1040.5,725.4,2
51,1.7,4,27.95,9.074,1114.6,811.5,3
51,1.7,7,10.135,21.173,1341.6,974.4,5
51,1.7,5,36.863,16.732,1163.4,749.6,5
51,1.7,8,1.43,21.166,1393.9,1062.6,5
51,1.7,10,0.88,9.232,1245.9,1068.1,3
52,1.733,1,27.006,21.959,1262.7,827.8,5
52,1.733,2,36.982,21.097,1208.9,752.4,5
52,1.733,3,26.429,16.755,1208.3,829.0,5
52,1.733,4,28.06,9.101,1114.5,810.6,3
52,1.733,6,38.968,6.177,1040.5,725.4,2
52,1.733,7,10.128,21.16,1341.5,974.5,5
52,1.733,5,36.859,16.724,1163.3,749.7,5
52,1.733,8,1.429,21.166,1393.9,1062.6,5
52,1.733,10,1.011,9.267,1245.7,1066.7,3
53,1.766,1,27.069,21.993,1262.8,827.4,5
53,1.766,2,36.975,21.077,1208.7,752.4,5
53,1.766,3,26.466,16.78,1208.4,828.7,5
53,1.766,4,28.133,9.12,1114.4,810.0,3
53,1.766,6,38.934,6.135,1040.2,725.6,2
53,1.766,7,10.17,21.177,1341.5,974.1,5
53,1.766,5,36.87,16.729,1163.4,749.6,5
53,1.766,8,1.426,21.159,1393.9,1062.6,5
53,1.766,10,1.073,9.253,1245.1,1066.0,3
54,1.8,1,27.066,21.984,1262.7,827.4,5
54,1.8,2,36.981,21.076,1208.7,752.3,5
54,1.8,3,26.468,16.787,1208.4,828.7,5
54,1.8,4,28.418,9.198,1114.1,807.8,3
54,1.8,6,39.01,6.178,1040.4,725.1,2
54,1.8,7,10.167,21.176,1341.5,974.1,5
54,1.8,5,36.87,16.73,1163.4,749.6,5
54,1.8,8,1.425,21.157,1393.8,1062.6,5
54,1.8,10,1.256,9.078,1241.8,1063.9,3
55,1.833,1,27.076,21.995,1262.8,827.3,5
55,1.833,2,36.978,21.078,1208.7,752.4,5
55,1.833,3,26.466,16.79,1208.5,828.7,5
55,1.833,4,28.429,9.201,1114.1,807.7,3
55,1.833,6,39.009,6.187,1040.5,725.1,2
55,1.833,5,36.853,16.721,1163.3,749.7,5
55,1.833,7,10.167,21.176,1341.5,974.1,5
55,1.833,8,1.426,21.153,1393.8,1062.6,5
55,1.833,10,1.244,9.081,1241.9,1064.1,3
56,1.866,1,27.078,21.991,1262.7,827.3,5
56,1.866,3,26.492,16.809,1208.6,828.5,5
56,1.866,2,36.991,21.086,1208.8,752.3,5
56,1.866,7,10.169,21.177,1341.5,974.1,5
56,1.866,6,39.007,6.194,1040.6,725.1,2
56,1.866,4,28.521,9.237,1114.2,807.0,3
56,1.866,5,36.862,16.727,1163.4,749.6,5
56,1.866,10,2.039,9.108,1237.8,1055.3,3
56,1.866,8,1.427,21.152,1393.8,1062.6,5
57,1.9,1,27.086,21.977,1262.6,827.2,5
57,1.9,2,37.011,21.078,1208.6,752.1,5
57,1.9,3,26.486,16.8,1208.5,828.6,5
57,1.9,6,39.003,6.195,1040.6,725.1,2
57,1.9,7,10.183,21.176,1341.4,973.9,5
57,1.9,4,28.432,9.173,1113.8,807.7,3
57,1.9,5,36.873,16.728,1163.3,749.6,5
57,1.9,10,1.996,9.063,1237.5,1055.7,3
57,1.9,8,1.429,21.145,1393.7,1062.6,5
58,1.933,1,27.071,21.959,1262.4,827.3,5
58,1.933,2,37.006,21.076,1208.6,752.2,5
58,1.933,3,26.488,16.795,1208.4,828.6,5
58,1.933,6,38.999,6.197,1040.7,725.2,2
58,1.933,7,10.193,21.179,1341.3,973.8,5
58,1.933,4,28.656,9.233,1113.6,805.9,3
58,1.933,5,36.89,16.722,1163.2,749.4,5
58,1.933,10,1.917,9.131,1238.8,1056.6,3
58,1.933,8,1.435,21.145,1393.6,1062.5,5
59,1.966,1,27.086,21.963,1262.4,827.2,5
59,1.966,3,26.493,16.794,1208.4,828.5,5
59,1.966,2,37.007,21.075,1208.6,752.2,5
59,1.966,7,10.191,21.177,1341.3,973.9,5
59,1.966,6,39.004,6.203,1040.7,725.1,2
59,1.966,4,28.877,9.243,1112.8,804.2,3
59,1.966,5,36.886,16.725,1163.3,749.5,5
59,1.966,10,2.054,9.102,1237.7,1055.1,3
59,1.966,8,1.435,21.147,1393.7,1062.5,5
60,2.0,1,26.939,21.892,1262.3,828.3,5
60,2.0,2,37.019,21.075,1208.5,752.1,5
60,2.0,3,26.538,16.82,1208.5,828.2,5
60,2.0,7,10.184,21.169,1341.3,973.9,5
60,2.0,6,39.006,6.196,1040.6,725.1,2
60,2.0,5,36.867,16.722,1163.3,749.6,5
60,2.0,4,28.846,9.218,1112.7,804.4,3
60,2.0,10,2.035,9.146,1238.3,1055.3,3
60,2.0,8,1.43,21.152,1393.7,1062.6,5
61,2.033,1,26.901,21.851,1262.1,828.6,5
61,2.033,2,37.031,21.081,1208.5,752.0,5
61,2.033,3,26.538,16.798,1208.2,828.2,5
61,2.033,7,10.184,21.164,1341.2,973.9,5
61,2.033,6,39.006,6.199,1040.7,725.1,2
61,2.033,4,28.886,9.195,1112.2,804.0,3
61,2.033,5,36.869,16.719,1163.3,749.6,5
61,2.033,8,1.43,21.155,1393.8,1062.6,5
61,2.033,10,2.139,9.077,1236.9,1054.2,3
